Simbolo;Nombre;Sector;Industria
WEC;WEC Energy Group, Inc.;Servicios publicos;Generacion de energia
WY;Weyerhaeuser Company;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
OKE;ONEOK, Inc.;Servicios publicos;Produccion de petroleo y gas
EBAY;eBay Inc.;Servicios al consumidor;Distribucion por catalogo/especializada
VRSK;Verisk Analytics, Inc.;Varios;Servicios a empresas
ZM;Zoom Video Communications, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
HES;Hess Corporation;Energia;Produccion de petroleo y gas
AME;AMETEK, Inc.;Bienes de consumo duraderos;Fabricacion de metales
CBRE;CBRE Group Inc;Finanzas;Bienes inmuebles
BIIB;Biogen Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
FRC;FIRST REPUBLIC BANK;Finanzas;Bancos comerciales
NET;Cloudflare, Inc.;Tecnologia;Servicios EDP
APTV;Aptiv PLC Ordinary Shares;Bienes de capital;Autopartes:O.E.M.
DHI;D.R. Horton, Inc.;NO APLICABLE;NO DISPONIBLE
ZS;Zscaler, Inc.;Tecnologia;Servicios EDP
PPG;PPG Industries, Inc.;Industrias basicas;Pinturas/Cubrimientos
FMX;Fomento Economico Mexicano S.A.B. de C.V.;Bienes de consumo no duraderos;Bebidas (Produccion/Distribucion)
EXPE;Expedia Group, Inc.;Transporte;Otros servicios al consumidor
AEM;Agnico Eagle Mines Limited;NO APLICABLE;NO DISPONIBLE
LVS;Las Vegas Sands Corp.;Servicios al consumidor;Hoteles/Restaurantes
CMI;Cummins Inc.;Bienes de capital;Construccion/Equipos agricolas/Camiones
AWK;American Water Works Company, Inc.;Servicios publicos;Suministro de agua
TTD;The Trade Desk, Inc.;Tecnologia;Servicios EDP
HRL;Hormel Foods Corporation;Bienes de consumo no duraderos;Carne/Aves/Pescado
BLL;Ball Corporation;Bienes de consumo duraderos;Contenedores/Embalajes
CPRT;Copart, Inc.;Servicios al consumidor;Otras tiendas especializadas
CERN;Cerner Corporation;Sanidad;Atencion sanitaria gestionada
EFX;Equifax, Inc.;Tecnologia;Publicidad
RCI;Rogers Communication, Inc.;NO APLICABLE;NO DISPONIBLE
NOK;Nokia Corporation Sponsored American Depositary Shares;Tecnologia;Equipos de radio y television y comunicaciones
MT;Arcelor Mittal NY Registry Shares NEW;Industrias basicas;Acero/Minerales de hierro
NDAQ;Nasdaq, Inc.;Finanzas;Banqueros/corredores/servicios de inversion
WST;West Pharmaceutical Services, Inc.;Sanidad;Instrumentos medicos/odontologicos
PHG;Koninklijke Philips N.V. NY Registry Shares;Sanidad;Biotecnologia Aparatos electromedicos y electroterapeuticos
VEEV;Veeva Systems Inc.;Sanidad;Atencion sanitaria gestionada
NIO;NIO Inc. American depositary shares, each representing one ordinary share;Bienes de capital;Fabricacion de automoviles
KEYS;Keysight Technologies Inc.;Bienes de capital;Maquinaria industrial/Componentes
TWTR;Twitter, Inc.;Tecnologia;Servicios EDP
EXR;Extra Space Storage Inc;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
CQP;Cheniere Energy Partners, LP Cheniere Energy Partners, LP Common Units;Servicios publicos;Transmision de petroleo/gas
WTW;Willis Towers Watson Public Limited Company Ordinary Shares;Finanzas;Aseguradoras especializadas
MKC;McCormick & Company, Incorporated;Bienes de consumo no duraderos;Agricultura/Semillas/Molineria
ANSS;ANSYS, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
TSCO;Tractor Supply Company;Servicios al consumidor;Otras tiendas especializadas
LEN;Lennar Corporation;Servicios al consumidor;Operadores de edificios
SGEN;Seagen Inc.;Sanidad;Biotecnologia Productos biologicos (no sustancias de diagnostico)
MTCH;Match Group, Inc.;NO APLICABLE;NO DISPONIBLE
FE;FirstEnergy Corp.;Servicios publicos;Compañias electricas: Central
ZBH;Zimmer Biomet Holdings, Inc.;Sanidad;Especialidades industriales
LH;Laboratory Corporation of America Holdings;Sanidad;Especialidades medicas
TEF;Telefonica SA;Servicios publicos;Equipos de telecomunicaciones
EIX;Edison International;Servicios publicos;Compañias electricas: Central
DTE;DTE Energy Company;Servicios publicos;Compañias electricas: Central
SIRI;Sirius XM Holdings Inc.;Servicios al consumidor;Radiodifusion
LYV;Live Nation Entertainment, Inc.;Servicios al consumidor;Cine/Entretenimiento
CAJ;Canon, Inc. American Depositary Shares;Varios;Maquinaria industrial/Componentes
ON;ON Semiconductor Corporation;Tecnologia;Semiconductores
OKTA;Okta, Inc.;Tecnologia;Servicios EDP
GWW;W.W. Grainger, Inc.;Bienes de consumo no duraderos;Equipos de telecomunicaciones
TWLO;Twilio Inc.;Bienes de capital;Maquinaria industrial/Componentes
MAA;Mid-America Apartment Communities, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
INVH;Invitation Homes Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
SWK;Stanley Black & Decker, Inc.;Bienes de capital;Fabricacion diversificada
SPOT;Spotify Technology S.A. Ordinary Shares;Servicios al consumidor;Radiodifusion
LUV;Southwest Airlines Company;Transporte;Servicios de transporte aereo
URI;United Rentals, Inc.;Tecnologia;Servicios comerciales diversificados
VTR;Ventas, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
VMC;Vulcan Materials Company;NO APLICABLE;NO DISPONIBLE
LBRDK;Liberty Broadband Corporation;Servicios al consumidor;Servicios de television
U;Unity Software Inc.;Tecnologia;Comercio al por menor Programas informaticos y equipos perifericos
MLM;Martin Marietta Materials, Inc.;Bienes de capital;Materiales de construccion
PLTR;Palantir Technologies Inc.;Tecnologia;Comercio al por menor Programas informaticos y equipos perifericos
PARAA;Paramount Global;Servicios al consumidor;Cine/Entretenimiento
CHD;Church & Dwight Company, Inc.;Bienes de consumo no duraderos;Productos envasados/Cosmeticos
HZNP;Horizon Therapeutics Public Limited Company Ordinary Shares;Sanidad;Biotecnologia Preparados Farmaceuticos
RBLX;Roblox Corporation;Tecnologia;Servicios EDP
IT;Gartner, Inc.;Finanzas;Servicios comerciales diversificados
FANG;Diamondback Energy, Inc. Commmon Stock;Energia;Produccion de petroleo y gas
CDW;CDW Corporation;Tecnologia;Servicios EDP
ENPH;Enphase Energy, Inc.;Bienes de capital;Productos electricos
LI;Li Auto Inc. American Depositary Shares;Bienes de capital;Fabricacion de automoviles
MOS;Mosaic Company;Industrias basicas;Quimica agricola
BBY;Best Buy Co., Inc.;Servicios al consumidor;Electronica de consumo/Cadenas de video
LBRDA;Liberty Broadband Corporation;Servicios al consumidor;Equipos de telecomunicaciones
AEE;Ameren Corporation;Servicios publicos;Generacion de energia
VRSN;VeriSign, Inc.;Tecnologia;Servicios EDP
FTS;Fortis Inc. Common Shares;Servicios publicos;Compañias electricas: Central
TECK;Teck Resources Ltd Ordinary Shares;NO APLICABLE;NO DISPONIBLE
UMC;United Microelectronics Corporation;Tecnologia;Semiconductores
MTB;M&T Bank Corporation;Finanzas;Grandes bancos
HIG;Hartford Financial Services Group, Inc.;Finanzas;Aseguradoras de Daños
FOXA;Fox Corporation;Servicios al consumidor;Radiodifusion
ETR;Entergy Corporation;Servicios publicos;Compañias electricas: Central
ESS;Essex Property Trust, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
STE;STERIS plc;Sanidad;Especialidades industriales
CSGP;CoStar Group, Inc.;Finanzas;Bienes inmuebles
NTRS;Northern Trust Corporation;Finanzas;#N/D
DOV;Dover Corporation;Bienes de capital;Maquinaria industrial/Componentes
WPM;Wheaton Precious Metals Corp Common Shares;NO APLICABLE;NO DISPONIBLE
ALB;Albemarle Corporation;Industrias basicas;Especialidades industriales
HPE;Hewlett Packard Enterprise Company;Bienes de capital;Equipos de telecomunicaciones
DB;Deutsche Bank AG;Finanzas;Bancos comerciales
PCG;Pacific Gas & Electric Co.;Servicios publicos;Generacion de energia
SQM;Sociedad Quimica y Minera S.A.;Industrias basicas;Quimica agricola
MDB;MongoDB, Inc.;Tecnologia;Comercio al por menor Programas informaticos y equipos perifericos
CLR;Continental Resources, Inc.;Energia;Produccion de petroleo y gas
KEY;KeyCorp;Finanzas;Grandes bancos
HBAN;Huntington Bancshares Incorporated;Finanzas;Grandes bancos
GRMN;Garmin Ltd.;Bienes de capital;Maquinaria industrial/Componentes
PARA;Paramount Global;Servicios al consumidor;Cine/Entretenimiento
PKI;PerkinElmer, Inc.;Sanidad;Especialidades medicas
SWKS;Skyworks Solutions, Inc.;Tecnologia;Semiconductores
CTRA;Coterra Energy Inc.;Energia;Produccion de petroleo y gas
CCEP;Coca-Cola Europacific Partners plc Ordinary Shares;Bienes de consumo no duraderos;Bebidas (Produccion/Distribucion)
VFC;V.F. Corporation;Bienes de consumo no duraderos;Ropa
JBHT;J.B. Hunt Transport Services, Inc.;Transporte;Transporte de mercancias por carretera/Servicios de mensajeria
GMAB;Genmab A/S ADS;Sanidad;Biotecnologia: Investigacion comercial fisica y biologica
AVTR;Avantor, Inc.;Industrias basicas;Especialidades industriales
RF;Regions Financial Corporation;Finanzas;Grandes bancos
DRE;Duke Realty Corporation;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
DAL;Delta Air Lines, Inc.;Transporte;Servicios de transporte aereo
ZBRA;Zebra Technologies Corporation;Tecnologia;Equipos perifericos de ordenador
SUI;Sun Communities, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
FOX;Fox Corporation;Servicios al consumidor;Radiodifusion
K;Kellogg Company;Bienes de consumo no duraderos;Alimentos envasados
VICI;VICI Properties Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
CNHI;CNH Industrial N.V. Common Shares;Bienes de capital;Construccion/Equipos agricolas/Camiones
PBA;Pembina Pipeline Corp. Ordinary Shares;Energia;Produccion de petroleo y gas
FTV;Fortive Corporation;Bienes de capital;Maquinaria industrial/Componentes
ZI;ZoomInfo Technologies Inc;Tecnologia;Programas informaticos: Software preempaquetado
CCL;Carnival Corporation;Servicios al consumidor;Transporte maritimo
TTM;Tata Motors Ltd Tata Motors Limited;Bienes de capital;Fabricacion de automoviles
RJF;Raymond James Financial, Inc.;Finanzas;Banqueros/corredores/servicios de inversion
ULTA;Ulta Beauty, Inc.;NO APLICABLE;NO DISPONIBLE
CF;CF Industries Holdings, Inc.;Industrias basicas;Quimica agricola
TDY;Teledyne Technologies Incorporated;Bienes de capital;Maquinaria industrial/Componentes
HEI;Heico Corporation;Bienes de capital;Militar/Gubernamental/Tecnico
CFG;Citizens Financial Group, Inc.;Finanzas;Grandes bancos
HUBS;HubSpot, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
XPEV;XPeng Inc. American depositary shares, each representing two ordinary shares;Bienes de capital;Fabricacion de automoviles
GIB;CGI Inc.;NO APLICABLE;NO DISPONIBLE
CINF;Cincinnati Financial Corporation;Finanzas;Aseguradoras de Daños
BILL;Bill.com Holdings, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
IR;Ingersoll Rand Inc.;Bienes de capital;Maquinaria industrial/Componentes
SPLK;Splunk Inc.;Tecnologia;Programas informaticos: Software preempaquetado
BXP;Boston Properties, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
PPL;PPL Corporation;Servicios publicos;Compañias electricas: Central
SSNC;SS&C Technologies Holdings, Inc.;Tecnologia;Servicios EDP
STX;Seagate Technology Holdings PLC Ordinary Shares;Tecnologia;Componentes electronicos
CMS;CMS Energy Corporation;Servicios publicos;Generacion de energia
CS;Credit Suisse Group American Depositary Shares;Finanzas;Banqueros/corredores/servicios de inversion
WAT;Waters Corporation;Sanidad;Especialidades medicas
CUK;Carnival Plc ADS ADS;NO APLICABLE;NO DISPONIBLE
COO;The Cooper Companies, Inc.;Sanidad;Productos oftalmicos
NTAP;NetApp, Inc.;Tecnologia;Componentes electronicos
ALNY;Alnylam Pharmaceuticals, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
BIP;Brookfield Infrastructure Partners LP Limited Partnership Units;Servicios publicos;Generacion de energia
MPWR;Monolithic Power Systems, Inc.;Tecnologia;Semiconductores
TRU;TransUnion;Tecnologia;Publicidad
FMS;Fresenius Medical Care AG;Sanidad;Servicios medicos y de enfermeria
ZTO;ZTO Express;Transporte;Publicidad
MOH;Molina Healthcare Inc;Sanidad;Especialidades medicas
SYF;Synchrony Financial;Finanzas;Servicios financieros diversificados
ICLR;ICON plc Ordinary Shares;Sanidad;Biotecnologia: Investigacion comercial fisica y biologica
PAYC;Paycom Software, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
RYAAY;Ryanair Holdings plc American Depositary Shares;Transporte;Servicios de transporte aereo
SBNY;Signature Bank;Finanzas;Grandes bancos
UDR;UDR, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
GNRC;Generac Holdlings Inc.;Bienes de consumo duraderos;Fabricacion de metales
CNP;CenterPoint Energy, Inc;Servicios publicos;Compañias electricas: Central
FLT;FleetCor Technologies, Inc.;Tecnologia;Servicios EDP
CHKP;Check Point Software Technologies Ltd. Ordinary Shares;Tecnologia;Programas informaticos: Software preempaquetado
PKX;POSCO Holdings Inc. American Depositary Shares;Industrias basicas;Acero/Minerales de hierro
POOL;Pool Corporation;Bienes de consumo no duraderos;Productos recreativos/Juguetes
TTWO;Take-Two Interactive Software, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
MKL;Markel Corporation;Finanzas;Aseguradoras de Daños
BRO;Brown & Brown, Inc.;Finanzas;Aseguradoras especializadas
MGM;MGM Resorts International;Servicios al consumidor;Hoteles/Restaurantes
PWR;Quanta Services, Inc.;Bienes de capital;Ingenieria y construccion
QSR;Restaurant Brands International Inc. Common Shares;NO APLICABLE;NO DISPONIBLE
PEAK;Healthpeak Properties, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
RCL;D/B/A Royal Caribbean Cruises Ltd.;NO APLICABLE;NO DISPONIBLE
AKAM;Akamai Technologies, Inc.;Varios;Servicios a empresas
TER;Teradyne, Inc.;Bienes de capital;Productos electricos
HOLX;Hologic, Inc.;Sanidad;Electronica medica
ACGL;Arch Capital Group Ltd.;Finanzas;Aseguradoras de Daños
AGR;Avangrid, Inc.;Servicios publicos;Compañias electricas: Central
GPC;Genuine Parts Company;Bienes de capital;Posventa de automocion
MGA;Magna International, Inc.;Bienes de capital;Autopartes:O.E.M.
CTLT;Catalent, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
CPT;Camden Property Trust;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
KB;KB Financial Group Inc;Finanzas;Bancos comerciales
PFG;Principal Financial Group Inc;Finanzas;Aseguradoras especializadas
MRO;Marathon Oil Corporation;Energia;Produccion de petroleo y gas
TW;Tradeweb Markets Inc.;Finanzas;Banqueros/corredores/servicios de inversion
BR;Broadridge Financial Solutions, Inc.;Varios;Servicios a empresas
ACI;Albertsons Companies, Inc.;Servicios al consumidor;Cadenas alimentarias
SEDG;SolarEdge Technologies, Inc.;Tecnologia;Semiconductores
TS;Tenaris S.A. American Depositary Shares;Industrias basicas;Acero/Minerales de hierro
APP;Applovin Corporation;Tecnologia;Servicios EDP
EXPD;Expeditors International of Washington, Inc.;Transporte;Refino de petroleo/Marketing
RPRX;Royalty Pharma plc Ordinary Shares;Sanidad;Biotecnologia Preparados Farmaceuticos
BGNE;BeiGene, Ltd. American Depositary Shares;Sanidad;Biotecnologia Preparados Farmaceuticos
XP;XP Inc.;Finanzas;Banqueros/corredores/servicios de inversion
AMCR;Amcor plc Ordinary Shares;Bienes de consumo duraderos;Industrias manufactureras diversas
WAB;Westinghouse Air Brake Technologies Corporation;Bienes de capital;Ferrocarriles
DRI;Darden Restaurants, Inc.;Servicios al consumidor;Restaurantes
TYL;Tyler Technologies, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
TRMB;Trimble Inc.;Bienes de capital;Maquinaria industrial/Componentes
CHWY;Chewy, Inc.;Servicios al consumidor;Distribucion por catalogo/especializada
ENTG;Entegris, Inc.;Tecnologia;Semiconductores
WMG;Warner Music Group Corp.;Servicios al consumidor;Cine/Entretenimiento
INCY;Incyte Corp.;Sanidad;Biotecnologia: Investigacion comercial fisica y biologica
DGX;Quest Diagnostics Incorporated;Sanidad;Especialidades medicas
SUZ;Suzano S.A. American Depositary Shares;Industrias basicas;Papel
J;Jacobs Engineering Group Inc.;Bienes de capital;Servicios/equipos petroliferos
CEG;Constellation Energy Corporation;NO APLICABLE;NO DISPONIBLE
NVR;NVR, Inc.;Bienes de capital;Construccion de viviendas
NLOK;NortonLifeLock Inc.;Tecnologia;Programas informaticos: Software preempaquetado
KMX;CarMax Inc;Servicios al consumidor;Otras tiendas especializadas
CZR;Caesars Entertainment, Inc.;Servicios al consumidor;Hoteles/Restaurantes
CLX;Clorox Company;Bienes de consumo duraderos;Especialidades quimicas
IP;International Paper Company;Industrias basicas;Contenedores/Embalajes
YUMC;Yum China Holdings, Inc.;Servicios al consumidor;Restaurantes
OMC;Omnicom Group Inc.;Tecnologia;Publicidad
XM;Qualtrics International Inc.;Tecnologia;Programas informaticos: Software preempaquetado
DISH;DISH Network Corporation;Servicios al consumidor;Servicios de television
BIO;Bio-Rad Laboratories, Inc.;Bienes de capital;Biotecnologia Instrumentos analiticos de laboratorio
ROL;Rollins, Inc.;Tecnologia;Especialidades industriales
IEP;Icahn Enterprises, L.P.;NO APLICABLE;NO DISPONIBLE
TECH;Bio-Techne Corp;Sanidad;Biotecnologia Productos biologicos (no sustancias de diagnostico)
TFX;Teleflex Incorporated;Sanidad;Instrumentos medicos/odontologicos
TRGP;Targa Resources, Inc.;Servicios publicos;Distribucion de gas natural
BG;Bunge Limited Bunge Limited;Industrias basicas;Especialidades industriales
FMC;FMC Corporation;Industrias basicas;Quimica agricola
PODD;Insulet Corporation;Sanidad;Instrumentos medicos/odontologicos
FDS;FactSet Research Systems Inc.;Tecnologia;Publicidad
ATO;Atmos Energy Corporation;Servicios publicos;Transmision de petroleo/gas
ETSY;Etsy, Inc.;Servicios al consumidor;Distribucion por catalogo/especializada
